SMILES,trg(MW),trg(LogP),trg(QED),trg(TPSA),trg(HBA),trg(HBD),trg(DRD2),gen(MW),gen(LogP),gen(QED),gen(TPSA),gen(HBA),gen(HBD),gen(DRD2),reward
CS(=O)(=O)Cc1nnc(C2OC(C3CNC3)C(O)C(O)C2O)n1NC(=O)c1nnc(C2OC(C3CNC3)C(O)C(O)C2O)n1NC(=O)C1OC(N2CC(O)C(O)C(O)C2NC(N)=S)C(O)C(O)C1O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1026.031,-12.2826,0.087789815,489.56,29,18,0.01032327,81.19747224
O=C(CN1CC(O)C(O)C(O)C1C(O)O)N=c1[nH]c(C(=O)Nn2c(-c3nnc(C4OC(C(=O)[O-])C(O)C(O)C4O)n3NC(=O)C3OC(c4ccc(S(=O)(=O)N5CCCCCC5)cc4)C(O)C(O)C3O)nnc2C2OC(c3ccc(O)cc3)C(O)C(O)C2O)cs1,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1308.258,-9.454,0.043287911,576.73,30,18,0.013742069,0.735851258
CN(C)C1C(O)C(O)C(O)CN1C1OC(c2nnc(C3OC(C4CNC4)C(O)C(O)C3O)n2NC(=O)c2nc(C3OC(C(=O)[O-])C(O)C(O)C3O)sc2-c2[nH]ncc2C2OC(C3CNC3)C(O)C(O)C2O)C(O)C(O)C1O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1117.091,-11.9688,0.080061776,512.42,30,19,0.083239668,2.168479082
Cc1nn(-c2nnc(-c3nc(C#N)c[nH]3)n2NC(=O)C2OC(N3CC(O)C(O)C(O)C3C3CNC3)C(O)C(O)C2O)c(Cl)c1C(=O)C(=O)C1OC(N2CC(O)C(O)C(O)C2C(O)O)C(O)C(O)C1O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1001.317,-10.8116,0.048170237,484.43,27,17,0.023519073,6.205792672
CN(C)C1C(O)C(O)C(O)CN1C1C(O)C(O)C(O)CN1C1OC(c2nnc(-c3ccc(-c4[nH]ncc4C4OC(C5CNC5)C(O)C(O)C4O)o3)n2NC(=O)C2OC(C(=O)[O-])C(O)C(O)C2O)C(O)C(O)C1O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1043.971,-12.1692,0.084774237,494.65,29,18,0.052984182,8.501942705
CC(C(=O)N1CC(C(=O)Nn2c(C3OC(C(O)O)C(O)C(O)C3O)nnc2-n2c(C)c(C3OCC(O)C(O)C3O)sc2=O)(c2nnc(SC(F)(F)F)n2NC(=O)C2OCC(O)C(O)C2O)C1)=C1CCCC(=CC=Cc2ccccc2F)C1=O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1215.137,-3.76008,0.026456885,429.22,24,13,0.029303756,1.055585367
CN1CCCC(c2nnc(C(=O)Nn3c(C4OC(C(O)O)C(O)C(O)C4O)nnc3C3OC(N(C)C)C(O)C(O)C3O)n2NC(=O)c2cnn(C3OC(N4CC(O)C(O)C(O)C4C(O)O)C(O)C(O)C3O)c2)C1,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1047.987,-11.4667,0.074905683,498.53,29,18,0.089256825,7.196750748
CN(C)C1C(O)C(O)C(O)CN1C1OC(C(=O)Nn2c(-c3nnc(-c4cnn(C5OC(C(O)O)C(O)C(O)C5O)c4)n3NC(=O)C3OC(C4CNC4)C(O)C(O)C3O)nnc2N2CCCC(N)C2)C(O)C(O)C1O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1058.03,-12.0783,0.074903186,496.12,29,18,0.06286464,5.462086507
Cc1cc(C)nc(-c2nnc(C3OC(N4CC(O)C(O)C(O)C4N4CC(O)C(O)C(O)C4C4CNC4)C(O)C(O)C3O)n2NC(=O)c2cc(C3OC(N4CC(O)C(O)C(O)C4C(=O)[O-])C(O)C(O)C3O)c[nH]2)n1,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1038.999,-11.74836,0.089637225,485.17,28,18,0.032787781,10.4052618
O=C(Nn1c(C2OC(C(O)O)C(O)C(O)C2O)nnc1C1OC(C2CNC2)C(O)C(O)C1O)c1ccnn1-c1nnc(-c2cccnc2)n1NC(=O)C1OC(N2CC(O)C(O)C(O)C2C2CNC2)C(O)C(O)C1O,1026.375124,-12.1461,0.068244547,483.41,29,18,0.000691099,1048.978,-11.0595,0.058590598,488.54,28,18,0.035141247,6.983727787
