SMILES,trg(MW),trg(LogP),trg(QED),trg(TPSA),trg(HBA),trg(HBD),trg(DRD2),gen(MW),gen(LogP),gen(QED),gen(TPSA),gen(HBA),gen(HBD),gen(DRD2),reward
CNC(=O)N=c1[nH]nc(-c2cc(C3OC(C4C(c5ccc(-c6ccc(=N)[nH]c6)cc5C#N)OC(CC(NCc5cccc6cnccc56)C(=O)O)C4O)C(c4ccc(S(=O)(=O)NS(N)(=O)=O)cn4)C3O)cc(O)c2-c2n[nH]c(=NC(=O)N3CCCC(c4nc(=N)[nH][nH]4)C3)s2)s1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1371.497,2.07262,0.062026156,523.83,20,15,0.316020303,3.53632756
N=C(N)c1ccc(-c2c(C3CCN(C4OC(n5cnc6c(=N)[nH]cnc65)C(C5NC(c6n[nH]c(=NC(=O)N7CCNC(=O)C7C7CNC7)s6)CCN(C(=O)CCC(SC(F)F)C(=O)O)C5=O)C4O)C(=O)C(c4ccc(=N)[nH]c4)N3)sc(N)c2-c2n[nH]c(=NC(=O)N3CCNC(=O)C3)s2)c(F)c1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1472.576,-0.70639,0.041981109,527.32,21,16,0.223755888,3.661291987
CC(=NNC(=O)C1CNC(=O)C1)c1ccc(C2C(c3cnc4[nH]c(=N)[nH]c(=N)c4n3)OC(c3cc(C4OC(CC(C(=O)N5CCNC(=O)C5)c5nccn5C)C(n5ncc6cnc(-c7nc(=N)[nH][nH]7)cc65)C(O)C4O)c(Br)cc3-c3nc(-n4cnc5c(=N)[nH]cnc54)c(CO)o3)C2O)cc1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1426.245,-0.15902,0.044139511,537.64,20,16,0.202388653,13.77066622
N=c1nc(COC(CCC2OC(c3c[nH]c4ccc(O)cc34)C(C3OC(c4n[nH]c(=NC(=O)N5C(=O)C(=O)NCC5c5nc(=N)[nH][nH]5)s4)C(O)C3c3ccc4c(=O)n(-c5ccc(CCCCc6n[nH]c(=NC(=O)N7CC7)s6)cc5F)c(=O)[nH]c4c3)C2O)C(=O)N2CCNC2=O)[nH][nH]1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1371.382,-0.12316,0.030237376,513.72,18,15,0.131156088,3.612036017
N=c1ccc(-c2sc(N)c(-c3n[nH]c(=NC(=O)N4CCNC(=O)C4C4CNC4)s3)c2C2OC(C3C(c4c(-c5nc(-n6cnc7c(=N)[nH]cnc76)c(-c6cc[nH]c(=N)n6)c(=O)[nH]5)sc(N)c4-c4n[nH]c(=NC(=O)N5CCNC(=O)C5)s4)OC(CN4CCOCC4)C3O)C(O)C2F)c[nH]1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1403.526,-1.40559,0.066836971,524.63,20,16,0.203800126,8.37940118
Cc1[nH]c(C2OC(c3n[nH]c(=NC(=O)N4CCCNCC4)s3)C(C3OC(c4ccc5c(=O)cc(-c6ccc(=N)[nH]c6)oc5c4)C(O)C3C3OC(n4cnc5c(=N)[nH]cnc54)C(O)C3C3OC(N4CC(c5ccc(=N)[nH]c5)C5OCCCC54)C(O)C3F)C2O)c(C)c1-c1n[nH]c(=NC(=O)NS(N)(=O)=O)s1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1490.611,0.49085,0.079127838,529.62,21,16,0.343032223,2.769507154
Cc1cc2nc(C3C(O)C(c4n[nH]c(=NC(=O)N5CCNC(=O)C5)s4)OC3C3C(c4cc(C)c(-c5nc(-c6n[nH]c(=NC(=O)N7CCNC(=O)C7)s6)c(-c6nc(=N)[nH][nH]6)c(=O)[nH]5)c(C)c4)OC(C4C(O)C(C5CNC5)OC4n4cnc5c(=N)[nH]cnc54)C3O)[nH]c2cc1C,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1323.414,-1.06608,0.077538655,494.41,19,15,0.078553548,2.007652253
N=c1ccc(C2OC(c3sc(N)c(-c4c(-c5n[nH]c(=NC(=O)N6CCNC(=O)C6)s5)nc(CO)[nH]c4=O)c3-c3sc(N)c(-c4n[nH]c(=NC(=O)N5CCNC(=O)C5)s4)c3C3CNC(=O)C3)C(C3OC(n4cnc5c(=N)[nH]cnc54)C(N4CCCC(N)C4)C3O)C2O)c[nH]1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1349.499,-1.80496,0.067888927,526.19,20,16,0.277675112,2.685435925
CNC(=O)N=c1[nH]nc(-c2c(C3OC(c4nc(=N)[nH][nH]4)C(C4OC(c5ccc6c(-c7cc(C8OC(c9n[nH]c(=NC(=O)NC%10=NCCN%10)s9)C(O)C8c8n[nH]c(=NC(=O)N9CC9)s8)c(C)cc7C)[nH]nc6c5)C(n5nc(C)nc5-c5cccs5)C4O)C3O)n[nH]c2-n2cnc3c(=N)[nH]cnc32)s1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1459.582,1.9264,0.077699715,540.91,20,16,0.185056141,4.438395207
N=c1ccc(C2OC(C3C(c4c(N)sc(-c5c(-n6cnc7c(=N)[nH]cnc76)nc(-c6n[nH]c(=NC(=O)N7CCNC(=O)C7CS)s6)[nH]c5=O)c4-n4cnc5c(=N)[nH]cnc54)OC(N4CCC(F)(C5OC(c6n[nH]c(=NC(=O)N7CCNC(=O)C7)s6)C(O)C5F)CC4)C3O)C(O)C2F)c[nH]1,1421.748941,-1.772,0.03910486,526.91,20,16,0.222897802,1443.494,-1.73249,0.063977221,524.63,20,16,0.150544743,7.297164263
