SMILES,trg(MW),trg(LogP),trg(QED),trg(TPSA),trg(HBA),trg(HBD),trg(DRD2),gen(MW),gen(LogP),gen(QED),gen(TPSA),gen(HBA),gen(HBD),gen(DRD2),reward
[C-]#[N+]C(=O)C(C)(C)ONC(=O)c1ncc2nc(-c3cc4c(-c5cc6nccc(-c7cc[nH]c7O)c6cc5-c5cc6ccccc6cc5O)ccnc4cc3-c3cc4ccccc4cc3-c3cnc(C)nc3)c(=O)n(-c3nc(-c4cc5ccccc5cc4O)c4c(=N)[nH]ccn34)c2n1,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1272.315,13.28518,0.044172156,305.41,15,7,0.012739965,4.467510851
[C-]#[N+]CCCCCCCCN1CC(c2nc3cnc(-c4ccc5c(c4)OCO5)nc3n(-c3ncc4nc(-c5nc(-c6cc7ccccc7cc6O)n6cc[nH]c(=N)c56)c(=O)n(-c5cc6ccccc6cc5-c5cc6ccccc6cc5O)c4n3)c2=O)C(c2csc(=N)[nH]2)C1c1ccc(O)cc1,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1353.499,13.14643,0.032922094,304.67,15,7,0.085275033,4.438510245
CC#CCc1cc2ccccc2cc1C1(c2nc3cnc(-c4ncc(-c5ccnc6cc(-c7ccc(O)cc7)c(-c7cc8ccccc8cc7O)cc56)cc4C4(C)CO4)nc3n(-c3nc4cnc(-c5cc[nH]c5O)nc4n(-c4nc(-c5cc6ccccc6cc5O)n5cc[nH]c(=N)c45)c3=O)c2=O)CCCC1,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1390.494,14.34667,0.044148267,313.3,16,7,0.020600944,2.508919539
CC(C)(OC(F)F)C(=O)N1CCC(n2c(=O)c(-c3ncnc4cc(-c5cc6ccccc6cc5O)c(-c5nc(-c6cc7ccccc7cc6-c6cc[nH]c6O)c6c(=N)[nH]ccn56)cc34)nc3cnc(-c4cnc(-c5cc6ccccc6cc5O)nc4-c4cc5ccccc5cc4O)nc32)C1,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1325.366,14.26547,0.059822083,295.42,15,7,0.030587624,10.63689162
CC#CCc1c(-c2cc3c(-c4cc[nH]c4O)ccnc3cc2-c2cc3ccccc3cc2O)c(-c2nc(-c3ncc4nc(-c5ccc6nc(C)sc6c5)c(=O)n(-c5nc(-c6ccc(C(C)(C)CO)o6)n6cc[nH]c(=N)c56)c4n3)ncc2-c2cc3ccccc3cc2O)nn1C,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1268.393,13.13679,0.055958154,296.84,15,7,0.046552587,4.128507588
N=c1[nH]ccn2c(-c3cc4c(C(F)F)ccnc4cc3-c3cc4ccccc4cc3O)nc(-c3nc4cnc(-c5nc6cnc(-c7cc(F)cc(F)c7)nc6n(-c6cc(-c7cc[nH]c7O)cnc6-c6cc7ccccc7cc6O)c5=O)nc4n(-c4cc5ccccc5cc4O)c3=O)c12,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1300.222,13.55817,0.062629517,300.77,15,7,0.00974026,10.7006459
CC(CN1CC1)=C(C#N)C(=O)N1CC(C)C(c2nc(-c3cc4ccccc4cc3O)n3cc[nH]c(=N)c23)Oc2c(cccc2-n2c(=O)c(-c3cc4ccccc4cc3O)nc3cnc(-c4cc(-c5cc6ccccc6cc5O)c5ccccc5c4O)nc32)C1=O,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1186.258,11.62845,0.044570508,271.94,14,6,0.01424361,1.589353901
CC(C)(CO)c1cc2c(-c3nc(-c4nc5cnc(C6CC(c7cnc(-c8cc9ccccc9cc8O)nc7-c7cc8ccccc8cc7O)N(S(=O)(=O)c7ccc(Cl)s7)C6)nc5n(-c5ccc(O)cc5)c4=O)n4cc[nH]c(=N)c34)ccnc2cc1-c1cc2ccccc2cc1O,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1325.89,13.49047,0.059823768,294.81,15,7,0.076336677,10.31239371
Cc1cccc(=NC(=O)c2cc3nccc(-c4ccc(O)cc4)c3cc2-c2cc3nccc(-c4cc5ccccc5cc4O)c3cc2-n2c(=O)c(-c3nnc(-c4cc5ccccc5cc4-c4cc5ccccc5cc4O)n3C)nc3cnc(NC(=N)NC(=O)C(C)C)nc32)[nH]1,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1247.349,13.47549,0.049515124,288.05,14,7,0.006030978,2.93263838
CC(N1CCc2c1nc(-c1ccc3c(-c4nc(-c5cc6ccccc6cc5O)c5c(=N)[nH]ccn45)ncnc3c1)nc2-n1c(=O)c(-c2cc3ccccc3cc2-c2cc3ccccc3cc2O)nc2cnc(-c3nc(-c4cc5ccccc5cc4O)n4cc[nH]c(=N)c34)nc21)C(F)(F)F,1312.843,13.6112,0.012884,293.63,15,7,0.015066,1308.318,13.53134,0.070740893,290.04,14,7,0.007190737,53.31165556
